Time,CpuTime (minutes),Memory (MB),CPU_Percentage
2025-03-15 03:23:00,0.00,0.00,0.00
2025-03-15 03:28:00,0.00,0.00,0.00
2025-03-15 03:33:00,0.00,0.00,0.00
2025-03-15 03:38:00,0.00,0.00,0.00
2025-03-15 03:43:00,3.28,47.75,52.81
2025-03-15 03:48:00,0.25,82.27,3.95
2025-03-15 03:53:00,0.67,91.00,10.85
2025-03-15 03:58:00,0.21,84.11,3.46
2025-03-15 04:03:00,0.22,78.40,3.50
2025-03-15 04:08:00,0.21,77.94,3.36
2025-03-15 04:13:00,0.70,69.43,11.23
2025-03-15 04:18:00,0.96,84.51,15.44
2025-03-15 04:23:00,0.21,90.07,3.38
2025-03-15 04:28:00,0.21,84.28,3.37
2025-03-15 04:33:00,0.21,82.42,3.41
2025-03-15 04:38:00,0.20,81.27,3.22
2025-03-15 04:43:00,0.21,80.15,3.40
2025-03-15 04:48:00,0.20,78.93,3.30
2025-03-15 04:53:00,0.21,78.54,3.43
2025-03-15 04:58:00,0.21,77.85,3.38
2025-03-15 05:03:00,0.21,77.31,3.33
2025-03-15 05:08:00,0.21,78.72,3.33
2025-03-15 05:13:00,0.20,77.47,3.29
2025-03-15 05:18:00,0.21,76.32,3.40
2025-03-15 05:23:00,0.21,75.73,3.31
2025-03-15 05:28:00,0.21,74.31,3.31
2025-03-15 05:33:00,0.21,72.88,3.43
2025-03-15 05:38:00,0.20,72.56,3.24
2025-03-15 05:43:00,0.20,69.55,3.23
2025-03-15 05:48:00,0.20,67.93,3.27
2025-03-15 05:53:00,0.21,65.45,3.36
2025-03-15 05:58:00,0.21,64.94,3.40
2025-03-15 06:03:00,0.22,63.36,3.47
2025-03-15 06:08:00,0.20,62.69,3.27
2025-03-15 06:13:00,0.20,61.03,3.29
2025-03-15 06:18:00,0.21,61.82,3.32
2025-03-15 06:23:00,0.20,61.05,3.29
2025-03-15 06:28:00,0.22,57.88,3.49
2025-03-15 06:33:00,0.21,56.73,3.33
2025-03-15 06:38:00,0.19,55.61,3.10
2025-03-15 06:43:00,0.20,54.73,3.29
2025-03-15 06:48:00,0.20,54.17,3.25
2025-03-15 06:53:00,0.21,53.24,3.35
2025-03-15 06:58:00,0.20,53.77,3.25
2025-03-15 07:03:00,0.20,51.84,3.24
2025-03-15 07:08:00,0.22,52.57,3.59
2025-03-15 07:13:00,0.23,52.03,3.67
2025-03-15 07:18:00,0.23,50.75,3.62
2025-03-15 07:23:00,2.12,53.42,34.06
2025-03-15 07:28:00,4.88,58.55,78.50
2025-03-15 07:33:00,5.13,56.95,82.63
2025-03-15 07:38:00,4.85,56.57,78.03
2025-03-15 07:43:00,3.18,73.81,51.22
2025-03-15 07:48:00,5.89,139.73,94.88
2025-03-15 07:53:00,5.88,134.02,94.64
2025-03-15 07:58:00,5.41,131.69,87.12
